OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,CONTRACT_LINK
GADMCC-DJ-2020-001-00015,ADQUISICION DE 12000 MASCARILLAS QUE SE ENTREGARA A LA POBLACION CEVALLENSE,TUNGURAHUA,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CEVALLOS,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CEVALLOS,ORTIZ NAVARRETE EDIN WALBERTO,20/04/2020,10/05/2020,"$10.200,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=m0zZ47sMKHOGUWPaFvDhRvBTMDQ2THQd8lOEoreAYJw,&idSoliCompra=9qw1sCrheqJVeU_l_dw-9rN3s6wf4Wuvg2BsaUOh-QM,"
GADPRS062020-00001,COMPRA DE PRODUCTOS DE PRIMERA NECESIDAD PARA NIÑOS DE CENTROS DE ATENCIÓN INFANTIL CDI,TUNGURAHUA,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL SALASAKA,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL SALASAKA,PROVEEDORA MEJIA,13/04/2020,15/06/2020,"$11.513,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=g4P9VqZCaPK3CwOmb6UY8Uw1heFg8wBlkgcDkPCh6jw,&idSoliCompra=GGl9Jrr2JsODHQpGJOT5blsXs0NUrQuHxTt3yhoRlyA,"
GG-AJ-005-2020-00002,ADQUISICIÓN DE TRAJES DE PROTECCIÓN PARA EL PERSONAL DE LA EMPRESA PÚBLICA – EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE AMBATO POR LA EMERGENCIA DEL COVID-19,TUNGURAHUA,EMPRESA PUBLICA - EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE AMBATO,EMPRESA PUBLICA - EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE AMBATO,LALALEO CHAMBA ALEXANDRA CATALINA,11/05/2020,14/05/2020,"$11.180,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=COGiy1OvKWesmwTUTVQDFBh0HdsTmbpAa4pQGArbkVI,&idSoliCompra=JPPGD9h0zuznGa_s4pJcCSF-sldUdVzkBMileaoQj-I,"
HGPT-081-2020-00011,ADQUISICIÓN POR EMERGENCIA SANITARIA DE 16000 KITS DE PRODUCTOS ALIMENTICIOS NO PERECIBLES CANASTAS SOLIDARIAS,TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,MUÑOZ NARANJO DIEGO ALEJANDRO,5/06/2020,14/06/2020,"$168.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=VrcJogA_hUz2VkH1j5Iqnx-mt2qrXyU4IYB9TxxamBg,&idSoliCompra=HXWffb4s2utH_fx0JxsxeqC4Rn1FiAgN15O1mSp5Vhw,"
HGPT-081-2020-00013,?ADQUISICIÓN DE KIT PARA DETERMINACIÓN DE VIRUS DE SARS COV-2 POR RT-PCR EN TIEMPO REAL?,TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,SIMED S. A.,24/08/2020,28/08/2020,"$140.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=v_CwsjYm3jpDzbiRRTX6AWXHJFeV3LB31A7YTMEeXTY,&idSoliCompra=5L_p4rxdk0hqzWLsJg8m7zOH0OOCDAsSL8QbzuE9eaA,"
HGPT-081-2020-00014,ADQUISICIÓN POR EMERGENCIA SANITARIA DE VENTILADORES MECÁNICOS NEONATAL PEDIÁTRICO Y ADULTO,TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,MENA SALAZAR WILLIAM RODRIGO,31/08/2020,11/09/2020,"$61.972,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=vrzYpZsRvEsScRO6-NLOffkCZOvwr8Bb6Gl9FuwhksM,&idSoliCompra=lxwNGgDytNDyQWRfywohsRPOLqURCMskmQ0kDMyi9Rg,"
HGPT-081-2020-00001,"ADQUISICIÓN POR EMERGENCIA SANITARIA DE ?4000 KITS DE PRODUCTOS ALIMENTICIOS PERECIBLES, NO PERECIBLES Y DE ASEO PERSONAL CANASTAS SOLIDARIAS?",TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,PLANTA HORTIFRUTICOLA AMBATO COMPANIA ANONIMA PLANHOFA C.A.,7/04/2020,16/04/2020,"$52.720,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=yiGRAp5GCqKum0v7lsePoyOKWS8AwB92CI5-PPH3_tw,&idSoliCompra=bpsvygs9tlwvlHWZO8pg9NZkgK_VO_mDfSAceKijQ0c,"
HGPT-081-2020-00003,ADQUISICIÓN POR EMERGENCIA SANITARIA DE ?5000 KITS DE PRODUCTOS ALIMENTICIOS NO PERECIBLES CANASTAS SOLIDARIAS?,TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,AMANCHA PROAÑO LUZ MARISELA,25/04/2020,4/05/2020,"$43.100,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=RSWmk2bpusBOqQMDlpHu208E_oTR6ATkD7GGx3U8TMI,&idSoliCompra=-LqDHCJmDwhmHFOUKBIvyI7YJJXv9aOcEpw_NJF8e7w,"
HGPT-081-2020-00016,"ADQUISICIÓN POR EMERGENCIA SANITARIA DE RESPIRADORES TIPO SEMI MÁSCARA Y FILTROS PARA PARTÍCULAS P100, NORMA DE CUMPLIMIENTO NIOSH",TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,MENDOZA STACEY ANGELICA ESTEFANIA,3/09/2020,7/09/2020,"$28.500,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=H86eVol4rvQSwzpQdZBNcnJtuzUYTEzJ2GR4nZRvrOE,&idSoliCompra=KIoctJBhMXQ-yWQ1Y0jhzpNZbfriRJfzyP9KiSbf7lU,"
HGPT-081-2020-00010,CONTRATACIÓN POR EMERGENCIA SANITARIA PARA LA DOTACIÓN DE IMPLEMENTOS DE SEGURIDAD MEDICINAL A LOS CENTROS MÉDICOS DE TUNGURAHUA,TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,DIAZ SANCHEZ JOSE ANTONIO,29/05/2020,31/05/2020,"$24.159,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=Fs0MlE6HRUtZrFHOFZjJyUHrSfK7c9ynraze9S1TeN4,&idSoliCompra=qZi038GYH7aa1EsZSg10rDrne4yfh_m2w02GaVgNw5c,"
HGPT-081-2020-00015,"ADQUISICIÓN POR EMERGENCIA SANITARIA DE TRAJES DE PROTECCIÓN CONTRA RIESGO, TALLA MEDIANO, TIPO 2",TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,ASOCIACION DE PRODUCCION TEXTIL LUCHA CON PROGRESO  ASOPROTEXLUP,1/09/2020,11/09/2020,"$21.360,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=gkv2-5duV7EFgmvyN56P4c54KDdfuBUO4HeBNOVMDSo,&idSoliCompra=kPATrQ4i5pRZqjlF_j5jyGmzT-5WOhp_u3gDw7XNxAk,"
HGPT079-2020-00003,CONTRATACIÓN POR EMERGENCIA SANITARIA DE LA ?ADQUISICIÓN DE 2 PULVERIZADORES TURBO ATOMIZADORES?,TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,GOBIERNO PROVINCIAL DE TUNGURAHUA,EL HUERTO CIA. LTDA.,3/04/2020,7/04/2020,"$16.456,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=Em-QdDjf3jw20bkmepJeRoVC9HI7Raozog33mI-6anc,&idSoliCompra=WCo8EYm1t5NVJnFtwSSnww8ckL3r8ABOFzLCuBZDCAc,"
HPDA-2020-0001-R-00013,CUBRECABEZAS TYBEK OVEROL,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,SARES VALAREZO MARIA EUGENIA,30/04/2020,11/05/2020,"$192.956,40",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=YyeTsniFZFD6_M1SyNhkbT95lr4GdvpDVfBAZBtLuhY,&idSoliCompra=ztyVYX8AadVZfzb-TU5jGpJtRGnnoRI6-zwHeBv7Qg8,"
HPDA-2020-0001-R-00011,CONTRATACIÓN DEL SERVICIO DE SEGURIDAD Y VIGILANCIA PRIVADA,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,COMPAÑIA DE SEGURIDAD PRIVADA SEGUP C. LTDA.,1/04/2020,15/05/2020,"$52.845,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=rg5OJ4pngqcz9Oxaes52tHdFIt4C3mXJKDyTuUUBXaM,&idSoliCompra=XZX2qKXonloy55oy6jyGr9IaRBXOUErlhHw1wz5JpqE,"
HPDA-2020-0001-R-00005,ADQUISICIÓN DE MEDICINAS,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,BIOTECNOLOGIA Y MEDICINA BIOAMIGA CIA. LTDA.,2/04/2020,7/04/2020,"$52.158,77",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=HrFh6_BtXEC-ctgakeOGrL8oMWJSzerDHc9eqYEYTS4,&idSoliCompra=hM3n174hnmwog0TwHOxix4EGhU-3Gv6dKR6kNoWU7pM,"
HPDA-2020-0001-R-00006,ADQUISICIÓN DE MASCARILLAS N95,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,COELLO MANCHENO CARLOS LEONIDAS,2/04/2020,7/04/2020,"$44.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=v_KPr63oZ6Tg85Lj1L9zvD-PgEfljQWgQEITaiRHZSQ,&idSoliCompra=DsY4UfgbKDZmVo1UzrBmMRk7ixgZPgYq6KNy5mtxk2c,"
HPDA-2020-0001-R-00010,ADQUISICIÓN DE INSUMOS Y DISPOSITIVOS MÉDICOS VARIOS,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,GILER ANCHUNDIA VICENTE RAUL,7/04/2020,13/04/2020,"$42.140,79",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=4e9vGdG9t-TMSoiLihayb6VFVEXIHHimVqSByhIeaok,&idSoliCompra=Zn4d9flPDSGP64Iiw_3d0rSxhBryCuhfkyrLselkplM,"
HPDA-2020-0001-R-00012,ADQUISICIÓN DE MASCARILLAS N95,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,COELLO JO YEN KIANG MICHAEL LEONEL,14/04/2020,15/04/2020,"$39.800,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=guWk4TONutd5HePF3miqpccacJITs0QTGgc8gH8fze8,&idSoliCompra=7w0JSra2v_78Xas6jHdhhpf1Ii35maKRZKTHysRAO7k,"
HPDA-2020-0001-R-00004,ADQUISICIÓN DE INSUMOS Y DISPOSITIVOS MÉDICOS,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,PRANNAMA S.A.,31/03/2020,7/04/2020,"$39.656,32",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=RaVICQhzEfse0nAY8FaSDEYuIowFMJQjaHBoYfsv8eY,&idSoliCompra=zRwpwbPQqBKH3Oyd73KgD1vovAphiU4spIOKxTeALo4,"
HPDA-2020-0001-R-00008,MEDICINAS VARIAS,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,DISTRIBUIDORES GENERALES DE SALUD DIGESALUD S.A.,7/04/2020,15/04/2020,"$23.912,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=A4lnXl13mAVowh10vvI4oAGa6kiotbgMG_b7IiMMgKw,&idSoliCompra=mCdl9pAe6co-XCNUyMp4VnX9uiPW43eRpqadLufyNN0,"
HPDA-2020-0001-R-00003,INSUMOS Y DISPOSITIVOS PARA TERAPIA CONTINUA PARA PACIENTES CON COVID-19,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,NEFROCONTROL S.A.,31/03/2020,3/04/2020,"$16.639,60",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=ndT2DFQ9iwXhGYXk7Trxxws69L3pD6B25XOJTu130Us,&idSoliCompra=aFcZoEnKJejrevvfLPnGPMnI9oiz0dnv0dZbV0jwcBw,"
HPDA-2020-0001-R-00001,ADQUISICIÓN E INSTALACIÓN DE MATERIALES PARA LA IMPLEMENTACIÓN DE VENTILACIÓN MECÁNICA ADECUADA PARA EL TRATAMIENTO DE PACIENTES COVID-19,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,TERMODINAMICA Y FLUIDOS T&F CIA. LTDA.,25/03/2020,30/03/2020,"$12.555,20",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=Xg3OXkc0CgQeTdh9NHo7nFge1lNlp93LhOXlCIDU3Kk,&idSoliCompra=b9By0Vzq8lykJqvJcYkRML2a3ux7nmOita8yDs0CHJo,"
HPDA-2020-0001-R-00007,ADQUISICIÓN DE OVEROL IMPERMEABLE PARA PROTECCIÓN PERSONAL,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,BRUQUE HERRERA JUAN CARLOS,6/04/2020,15/04/2020,"$11.600,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=K-_FWA7U5_MDKTwdXPCU0Lk0jh_6XF6f7KaHCTdgf4s,&idSoliCompra=lkYMxd-Np-iTV9pxxu7uo7EyK7WuJ9USpUFUV4obdn0,"
HPDA-2020-0001-R-00009,REPARACIÓN Y PUESTA EN FUNCIONAMIENTO DE LOS VENTILADORES MECÁNICOS,TUNGURAHUA,HOSPITAL DOCENTE DE AMBATO,HOSPITAL DOCENTE DE AMBATO,HERNANDEZ ULLOA BYRON PATRICIO,7/04/2020,14/04/2020,"$11.475,50",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=sRcmWxOc8rM-exs5ElcbnTzJOwhdJ-m2p7WNTHn5xtg,&idSoliCompra=VVKJt7lhUsLQM9cF9Hrhn4Mos-2JFLXWuA7Pey__-aY,"
IESS-DG-AL2020-032-R-00002,KITS DE PRUEBA RÁPIDA COVID-19 IGM/IGG ORO COLOIDAL PARA EL HOSPITAL GENERAL AMBATO,TUNGURAHUA,HOSPITAL GENERAL - AMBATO,HOSPITAL GENERAL - AMBATO,SIMED S. A.,21/05/2020,8/06/2020,"$66.517,51",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=yLJB2pCOaoCnMRre8eiwZFncO88q8PN4KE9NbNKIbO8,&idSoliCompra=YyQL_tUeIBqE7dMzLNHENlQib8j-zixCz97IbZJ0sr0,"
IESS-DG-AL2020-032-R-00003,ADQUISICION DE ROCURONIO BROMURO LIQUIDO PARENTERAL 10 MG/ML FRASCO/VIAL/AMPOLLA X 5 ML PARA EL HOSPITAL GENERAL AMBATO,TUNGURAHUA,HOSPITAL GENERAL - AMBATO,HOSPITAL GENERAL - AMBATO,HELSINNPHARM CIA. LTDA.,22/07/2020,23/07/2020,"$19.756,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=yzaoHfk1mrCUaQgJcNgbCr-nNUsM2c1Vk5C0XiXvwGE,&idSoliCompra=Uqt1SHFD4sr5XAAZ7UJ-EnPJANVGcFa7SvSzSIlmpfI,"
IESS-DG-AL2020-032-R-00001,ADQUISICIÓN DE TRAJES DE PROTECCIÓN PARA EL HOSPITAL GENERAL AMBATO,TUNGURAHUA,HOSPITAL GENERAL - AMBATO,HOSPITAL GENERAL - AMBATO,SOLIS LOPEZ MILTON ALEXANDER,15/04/2020,5/05/2020,"$19.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=IrJvD-U5Zsg_MC2NmsOFkf2YmmAmZ9cOdSmFO8cWeBQ,&idSoliCompra=Tuveu5kyRVHAAm30CBH07f5uo1xf2-t2siFgusQgJ-Y,"
MI-GG-RA-018-2020-00013,ADQUISICIÓN DE MASCARILLAS N95/KN95 PARA SUPERAR EMERGENCIA SANITARIA POR COVID 19,TUNGURAHUA,EMPRESA MUNICIPAL CUERPO DE BOMBEROS DE AMBATO - EMPRESA PUBLICA EN LIQUIDACION,EMPRESA MUNICIPAL CUERPO DE BOMBEROS DE AMBATO - EMPRESA PUBLICA EN LIQUIDACION,HERRERA LARA DIEGO HUMBERTO,20/05/2020,15/06/2020,"$27.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=1qh7hZuCQYwVeuw9fya4tMYUp7juPqMBFMDM1RBdcbo,&idSoliCompra=LAsVdrFKPwi4WCYuXybvB1BGJxcrqCFYXdoLXzhRKf0,"
RA004-2020-00020,ADQUISICION DE KITS COMPLEMENTARIOS DE ALIMENTOS PARA LA ATENCION DE LA POBLACION VULNERABLE POR LA EMERGENCIA SANITARIA DEBIDO AL COVID 19,TUNGURAHUA,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPALDE SANTIAGO DE PILLARO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPALDE SANTIAGO DE PILLARO,CHUCURI ROJANO SEGUNDO ANGEL MARIA,15/06/2020,17/06/2020,"$13.700,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=u9Sgrn59RLtpGksOVgkgMqh3EMHrbQMQ33gcbFcXrUE,&idSoliCompra=bfi-O_A7Mh2rBtIp1tQy9GaGdslLpeyK9f7l0zPGdNI,"
RA004-2020-00019,ADQUISICIÓN DE PRENDAS DE BIOSEGURIDAD PARA EL PERSONAL ADMINISTRATIVO Y TRABAJADORES DEL GADM SANTIAGO DE PÍLLARO PARA MITIGAR LOS EFECTOS PROVOCADOS POR LA PANDEMIA COVID – 19,TUNGURAHUA,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPALDE SANTIAGO DE PILLARO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPALDE SANTIAGO DE PILLARO,"ASOCIACION DE PRODUCCION TEXTIL EL GUAYTAMBITO ""ASOPRELGU""",15/06/2020,17/06/2020,"$10.910,50",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=4LWSrgYQHxT20cq1-QZtDQqBx7Ut9OtudCjBOOL-Oqc,&idSoliCompra=TZv2P1odxNRsIWq1o1sOfWy6_QBSqBBZlNeDQDl642w,"
GADMZ-ACZ-056A-2020-00002,ADQUISICIÓN DE KITS DE ALIMENTACIÓN PARA LAS PERSONAS DE ESCASOS RECURSOS ECONÓMICOS Y A LOS GRUPOS EN ESTADO DE VULNERABILIDAD DE ATENCIÓN PRIORITARIA DEL CANTÓN ZAMORA FRENTE AL COVID-19,ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA,GUERRA GORDILLO MILTON SAADIN,12/05/2020,15/05/2020,"$205.160,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=4C-NEUhN0_wfoh7FG1gV3xJ2htEwJsCHojsUsDXZWU4,&idSoliCompra=omiUwVVMN8hVzaJ42PqZyebGACx6a8auYN72tyiSjdU,"
001-GADPZCH-2020-00018,"ENTREGA  DE INSUMOS DE DESINFECCIÓN Y MATERIALES  DE PROTECCIÓN , DE CONFORMIDAD  CON EL INFORME DE LA COMISIÓN  TECNICA, CONTENIDO EN EL MEMORANDO N GADPZCH-CT-2020-010.",ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,PALACIOS PAVON FREDDY ARTURO,7/07/2020,17/07/2020,"$176.995,01",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=Si4K5wTfTBK2glLN31R3Mq8M03AwI-E0QjSo4-uoJqU,&idSoliCompra=pF9TcTjIY6F-Kv1SF_JIgLdF_IMGjDLHeIG9I4b2PYE,"
001-GADPZCH-2020-00017,"INSUMOS DE DESINFECCIÓN Y MATERIALES DE PROTECCIÓN 50 PARES DE BOTAS DE CAUCHO, 1466 GAFAS DE SEGURIDAD, 6244 PROTECTORES FACIALES Y 10682 TRAJES DE BIOSEGURIDAD TIPO 2",ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,DELGADO CASTILLO DAVID ALEJANDRO,7/07/2020,17/07/2020,"$115.049,04",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=Kimb8CnIvuei_VasLewkj15axdzHz0i9UQ2Jpao98FE,&idSoliCompra=JooNlko5oysSCgqWqBl2YSb7TiTxb07JZG_0th07DBY,"
001-GADPZCH-2020-00019,"ENTREGA DE INSUMOS  DE DESINFECCIÓN  Y MATERIALES  DE PROTECCIÓN  13666 GEL ALCOHOL , TIPO 3  DER CONFORMIDAD  CON EL INFORME  DE LA COMISIÓN  TÉCNICA , CONTENIDO  EN EL MEMORANDO N GADPZCH-CT-2020-010",ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,LEON VEGA HERNAN ALEXANDER,7/07/2020,17/07/2020,"$59.540,03",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=q3KuMe0obDO7NwCLokMkAnzT0wpwWtNTdpEDyzWKojQ,&idSoliCompra=rFn7qjcxWxoB0oC0TPEGvpLtVPYfGJbC8aWJMe7XGRs,"
GADMZ-ACZ-056A-2020-00005,ADQUISICIÓN DE LOS INSUMOS NECESARIOS PARA ATENDER LAS MÚLTIPLES NECESIDADES EN ESTE ESTADO DE EMERGENCIA POR EL COVID-19 EN EL CANTÓN ZAMORA,ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA,ARMIJOS BERRU MARICELA PATRICIA,29/05/2020,1/06/2020,"$51.204,01",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=YFQrX5XEZcNor5tChjgbIagVir4VxiYqWrAdgPBnDGk,&idSoliCompra=recci--JFELu1rjo5oUtPwi4tjfL4MK16JyBn1BW2WM,"
001-GADPZCH-2020-00021,KIST -REACTIVOS . QUE SE REQUIERE  PARA EL PROCESAMIENTO DE MIL ANALISIS DE MUESTRAS DE COVID-19 A  ENTERA SATISFACCIÓN DEL CONTRATANTE.,ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA CHINCHIPE,GENLIFE CIA LTDA,24/06/2020,24/07/2020,"$48.344,97",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=vhqjE4jQ4mf3Ym6cZvX3ovinOqaNaFbI10VmaXiNVvE,&idSoliCompra=pDpsAuCX59sl3EwBJoXjw3_THo4H1wNkY20DWPgDe1k,"
001-A-GADMP-2020-00009,"ADQUISICIÓN DE MATERIALES DE DESINFECCIÓN, BIOSEGURIDAD, PREVENTIVOS Y EQUIPOS PARA LA EJECUCION DEL PROYECTO ACCIONES PREVENTIVAS Y RESILIENTES FRENTE A LA PANDEMIA DEL COVID-19 EN EL CANTON PAQUISHA-TRAJES, MASCARILLAS, GUANTES, GAFAS, BATAS,GORROS,ZAPATONES, DISPENSADORES, ... Y PRUEBAS RÁPIDAS.",ZAMORA CHINCHIPE,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE PAQUISHA,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE PAQUISHA,DELGADO CASTILLO DAVID ALEJANDRO,26/05/2020,30/05/2020,"$38.242,50",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=4UGz4TJdYI2cQWZAYf0XK_HEL4fw8A96yi9pk5YIuBA,&idSoliCompra=BG-t2PCaZ4M4IwfTMhXe3LVNzh6kzqU2aRuK7dlqgek,"
